GGP,SO,TAXON,CHEBI,GO,CL,DNA,CELL_TYPE,CELL_LINE,RNA,PROTEIN,DISEASE,CHEMICAL,AMINO_ACID,ANATOMICAL_SYSTEM,CANCER,CELL,CELLULAR_COMPONENT,DEVELOPING_ANATOMICAL_STRUCTURE,GENE_OR_GENE_PRODUCT,IMMATERIAL_ANATOMICAL_ENTITY,MULTI_TISSUE_STRUCTURE,ORGAN,ORGANISM,ORGANISM_SUBDIVISION,ORGANISM_SUBSTANCE,PATHOLOGICAL_FORMATION,SIMPLE_CHEMICAL,TISSUE,label_fake
0,0,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0
0,0,3,1,0,2,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1,2,2,3,0,1,0,0,0,0,1,2,3,0,0,3,2,0,0,0,0,0,1,1,2,0,0,2,0,0
1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,1,0,0
0,0,3,0,0,0,0,0,0,0,5,29,0,0,0,1,0,4,0,0,0,0,3,2,4,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0
0,0,2,0,0,0,0,0,0,0,7,0,1,0,1,3,0,2,0,0,0,1,3,3,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,3,0,0,0,0,0,0,0,1,11,0,0,0,0,0,0,0,1,0,0,8,4,0,0,0,0,1,0
0,0,2,2,0,0,0,0,0,0,4,12,2,0,0,0,0,1,0,0,0,0,2,5,0,0,0,2,1,0
0,0,5,0,0,0,0,0,0,0,5,11,0,0,0,1,0,4,0,0,0,0,1,3,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,9,1,0,0,0,0,0,0,1,0,3,0,0,0,0,2,0,0,0,1,4,2,3,0,1,2,0,0
0,0,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
0,0,2,0,0,0,0,0,1,0,0,14,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0
0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,1,2,5,0,0,0,0,0,0,2,0,2,0,0,0,0,1,0,0,1,1,0,0,0,0,0,2,0,0
0,0,5,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2,0,1,1,0,0,0,0,0,29,1,0,0,3,1,2,0,0,0,4,8,0,1,0,1,0,0,0
0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,9,8,0,1,0,1,1,0,5,10,6,0,0,0,2,3,0,10,0,0,6,4,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,3,0,0,0,0,0,0,0,5,29,0,0,0,1,0,4,0,0,0,0,3,2,4,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2,0,5,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0
0,1,3,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0
0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,7,0,5,0,0,1,0,0,4,3,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,2,0
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,5,0,0,0,0,0,0,0,6,7,2,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0
0,1,10,9,0,0,0,0,0,0,4,11,4,1,0,0,0,3,0,0,0,0,3,1,2,0,1,7,2,0
0,0,0,1,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
0,0,2,6,0,0,0,0,0,0,1,2,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,2,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,6,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,2,2,0,4,0,0,7,0,0
0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,1,0,1,0,0,0,2,5,1,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0
0,0,1,0,3,0,0,2,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,1,0,0
0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0
0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,1,1,1,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
1,0,1,6,0,0,0,0,0,0,3,6,10,0,0,0,0,1,0,0,0,0,0,1,0,0,0,10,0,0
0,0,7,12,0,3,0,0,0,0,1,10,17,0,0,0,4,2,0,0,0,0,1,2,0,0,0,17,0,0
0,1,20,7,0,3,0,0,2,0,2,10,0,0,0,2,3,2,0,0,0,0,1,11,0,0,0,0,2,0
0,0,1,10,0,0,0,0,0,0,1,20,13,0,0,0,0,1,0,0,1,1,2,7,0,0,1,10,0,0
0,0,7,0,5,0,0,1,0,0,4,3,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,2,0
0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,2,0,0,0,0,1,4,0,0,0,1,0,0
0,0,0,0,0,0,0,0,2,0,0,21,0,0,0,1,0,0,0,0,0,2,7,3,0,0,0,0,1,0
0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
0,0,2,0,0,0,0,0,1,0,0,6,0,0,0,1,1,0,0,0,0,0,2,9,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,10,3,0,0,2,0,0,0,4,10,0,0,0,0,2,2,1,0,1,0,1,11,3,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,6,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,6,1,0,0,1,0,1
0,0,6,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,6,1,0,0,1,0,1
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,36,0,0,0,0,1,0,0,2,10,1,0,0,0,0,1,0,0,0,0,0,23,0,0,0,1,0,1
0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
0,0,5,2,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,4,4,1,1,0,3,2,1,1
0,0,10,0,0,1,1,0,0,0,3,2,0,0,0,1,1,0,0,2,0,3,0,3,0,0,0,1,0,0
0,1,1,1,0,0,0,0,1,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,3,9,1,0,2,1,0,0,0,8,4,4,0,0,0,1,1,0,10,0,0,1,3,1,0,0,1,0,0
0,5,16,5,0,14,2,1,0,0,1,24,3,0,0,20,18,5,0,2,1,1,11,14,5,0,0,6,5,0
0,0,2,8,0,0,0,0,0,0,1,5,5,1,0,0,2,1,0,1,0,1,1,1,0,0,1,7,3,1
1,0,2,2,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,1
0,0,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0,0,4,4,0,0,0,0,0,0,1,8,1,0,0,0,0,0,0,0,0,1,7,2,0,0,0,3,0,1
0,0,10,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,3,0,0,0,2,1,0,0,2,1,0
0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,1
0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,1,2,0,0,0,0,0,0,1,1,2,0,0,0,1,1,0,0,0,0,3,1,1,0,0,3,0,1
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0,0,1,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,1
0,0,0,4,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0
0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,2,0,2,0,1,0,0,0
0,0,0,2,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0
0,0,2,5,0,0,0,0,0,0,0,2,5,0,0,0,1,0,0,0,0,0,2,0,1,0,1,5,0,0
0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
0,1,1,0,0,0,0,0,0,0,1,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0
0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0
0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,1,0,0
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0
0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1
0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1
0,0,8,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,3,18,0,0,0,1,0,1,0,0,0,1,3,2,1,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,2,1,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,1,0,2,0,0,1,0,0
0,0,1,0,0,0,0,0,0,0,3,4,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,2,5,1,1,0,0,0,1,0,0,0,0,0,3,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
0,0,9,2,0,0,0,0,0,0,6,8,0,0,0,0,1,4,0,0,0,0,3,0,3,0,1,2,2,0
0,0,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,2,0
0,0,3,0,0,0,0,0,0,0,3,8,0,0,0,0,0,5,0,0,0,0,1,3,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,8,2,0,0,0,0,0,0,3,2,0,0,0,0,0,1,0,0,1,0,0,7,0,0,0,0,0,0
0,0,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0
0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,1,0,0
0,0,4,4,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1,0,20,5,0,0,1,0,0,0,1,2,3,0,0,0,0,3,0,2,0,2,0,4,0,0,0,3,0,0
0,1,8,1,0,0,1,0,0,0,0,4,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,4,31,0,1,0,0,1,0,0,1,4,1,0,0,0,1,1,0,0,0,0,0,11,0,0,0,2,0,1
0,1,15,0,1,0,0,1,0,0,1,3,0,0,0,0,2,1,0,0,0,0,0,6,0,0,0,1,0,1
0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,1
0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,1,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0
0,0,3,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,6,0,0,1,4,0,0,0,0,0,0
0,1,18,6,0,5,1,1,0,0,2,35,4,0,0,3,6,2,0,0,0,8,15,4,0,0,1,4,6,0
0,0,5,1,0,1,1,1,1,0,5,22,2,0,0,2,3,0,0,1,0,3,4,12,1,0,0,1,2,0
0,0,9,0,1,0,0,0,1,0,7,4,1,0,0,0,2,0,0,1,0,0,0,1,0,0,0,1,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0,1,13,0,1,0,1,0,0,0,0,12,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0
0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1
0,0,1,11,0,0,0,0,0,0,2,6,9,0,0,0,1,1,0,0,1,0,1,4,1,0,1,10,0,1
0,0,4,8,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,1
1,0,0,4,0,0,0,0,1,0,4,0,8,0,0,0,0,1,0,0,0,0,2,0,0,0,0,5,0,1
0,1,6,18,0,0,0,1,1,0,4,7,20,0,0,1,0,0,0,0,1,1,0,4,1,0,0,9,0,1
4,0,12,23,1,6,1,2,1,0,16,48,15,0,0,1,8,0,0,7,0,0,12,16,3,0,0,15,1,1
0,0,6,11,0,0,0,0,0,0,0,7,13,0,0,0,0,0,0,0,1,0,0,5,0,0,0,10,0,1
0,0,6,14,0,0,0,0,0,0,0,17,18,0,0,1,0,0,0,0,1,0,2,6,1,0,1,17,0,1
0,0,11,30,1,2,1,1,1,0,4,23,25,0,0,1,3,1,0,1,2,2,0,19,1,0,2,14,2,1
3,1,37,76,0,0,0,0,0,0,8,45,77,0,0,5,4,1,0,1,2,1,9,15,5,0,0,69,4,1
0,0,8,16,0,0,0,1,0,0,0,4,21,0,0,1,0,0,0,0,0,0,0,1,1,0,0,18,0,1
0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0,3,9,3,0,0,0,0,0,0,2,1,1,0,0,0,1,2,0,0,0,0,1,2,0,0,0,1,0,1
0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,8,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0,0,20,0,0,0,3,0,1,0,7,19,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,1
0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,6,3,0,0,0,0,0,0,3,7,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1
0,0,10,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1
0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
